Identifier,Edition Statement,Place of Publication,Date of Publication,Publisher,Title,Author,Contributors,Corporate Author,Corporate Contributors,Former owner,Engraver,Issuance type,Flickr URL,Shelfmarks
2740918,,London,1795,,Philoctetes in Lemnos,,"Monro, Thomas , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002740918,British Library HMNTS 643.f.3.(1.)
2741708,,Paris,1894,,"Étouy, ses origines et ses anciens seigneurs","P, ","Pinvert, A, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002741708,British Library HMNTS 10171.g.2.
2741780,,London,1837,,Beatrice of Ferrara,"P, ","Plunkett, Arthur Hume, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002741780,British Library HMNTS 11779.e.42.
2741961,,London,1857,,"The Rise and Progress of Australia, Tasmania and New Zealand ",,"Puseley, Daniel",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002741961,British Library HMNTS 10491.d.24.
2742096,,London,1874,,One Only,"P, ","Price, Eleanor Catharine, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002742096,British Library HMNTS 12638.k.23.
2742216,,London,1869,,"One Year, or a Story of Three Homes","P, ","Peard, Frances Mary, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002742216,British Library HMNTS 12620.bbb.26.
2742303,,Paris,1866,,Souvenirs militaires,"P, ","Le Doulcet, Louis Gustave , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002742303,British Library HMNTS 9220.ee.16.
2742437,,London,[1878.],,"Violet Stuart, a tale of Gibraltar","P, ","Phillimore, Harriet Eleanor , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002742437,British Library HMNTS 12641.b.10.
2742498,,London,[1826.],W. Reynolds,"Songs, Duets, Choruses, &c","P, ","Planché, James Robinson, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002742498,British Library HMNTS 11779.c.71.|British Library MUSIC Hirsch IV.1432a.(2.)
2742552,,London,1843,,"Millennium Eve: a poem begun at Florence, in ","P, ","Pring, John , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002742552,British Library HMNTS 1466.h.1.
2742592,,Lwów,1861,,"Wojna w Polsce roku 1831, przez Oficera Polskiego (J","P, ","Paszkowski, JóZef , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002742592,British Library HMNTS 9475.bb.26.
2742774,,Paryż,1841,,Opisanie jeograficzno-historyczno-statystyczne Województwa Poznańskiego,"P, ","Plater, Ludwik , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002742774,British Library HMNTS 10291.e.31.
