Identifier,Edition Statement,Place of Publication,Date of Publication,Publisher,Title,Author,Contributors,Corporate Author,Corporate Contributors,Former owner,Engraver,Issuance type,Flickr URL,Shelfmarks
42911,,London,1851,Richard Bentley,"Spiritual Alchemy; or, Trials turned to Gold",,"Sandbach, Margaret , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000042911,British Library HMNTS 12625.b.11.
43140,,London,1835,Richard Bentley,Recollections of an Excursion to the Monasteries of Alcobaça & Batalha,,"Beckford, William",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000043140,British Library HMNTS 1050.g.16.
43252,,London,1799,C. Dilly,"Poems, &c","Alcock, Mary , ","Hughes, Joanna, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000043252,British Library HMNTS 994.i.1.|British Library HMNTS RF.2004.a.50
45172,,Boston,1875,H. L. Shepard & Co.,History of the United States Marine Corps ,"Aldrich, M, ","Collum, Richard S, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000045172,British Library HMNTS 9602.ee.2.
45574,,London,1867,Hurst & Blackett,Alec's Bride,,"Tabor, Afterwards Stephenson, Eliza, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000045574,British Library HMNTS 12625.aaa.1.
48378,,London,1837,Henry Colburn,Narrative of a Voyage of Observation among the Colonies of Western Africa ,"Alexander, James Edward , ","Mitchell, C, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000048378,British Library HMNTS 1047.k.11.
48384,,London,1830,Henry Colburn & Richard Bentley,"Travels to the Seat of War in the East, through Russia and the Crimea, in 1829, etc","Alexander, James Edward , ","Ducatel, Julius Timoleon, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000048384,British Library HMNTS 1048.c.12.|British Library OC T 15504
48908,,London,1841,J. R. Smith,"A Journey to Beresford Hall, the seat of Charles Cotton Esqre, the celebrated author and angler","Alexander, William , ","G, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000048908,British Library HMNTS 10351.g.9.
48989,,Edinburgh,"1884, 85",Privately issued by W. Paterson,The Earl of Stirling's Register of Royal Letters relative to the affairs of Scotland and Nova Scotia from 1615 to 1635,"Stirling, William Alexander , ","Rogers, Charles , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000048989,British Library HMNTS 9509.cc.3.
49023,"[Another edition.] [With illustrations by George Reid, R.S.A., engraved by Amand-Durand.]",Edinburgh,1880,David Douglas,],"Alexander, William , ","Durand, Armand , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000049023,British Library HMNTS 12620.h.1.
49724,,"Cambridge, [Mass.]",1872,Riverside Press,His Imperial Highness the Grand Duke Alexis in the United States of America during the winter of 1871-72,,"Tucker, William W, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000049724,British Library HMNTS 010409.h.10.
51061,,Wien,1837,,Rückblicke auf Algier und dessen Eroberung ,,"Schwarzenberg, Friedrich Von , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000051061,British Library HMNTS 10095.g.30.
51064,,London,"1863, [1862]",Richard Bentley,Through Algeria,,"Crawford, Mabel Sharman, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000051064,British Library HMNTS 10096.c.13.
51125,,London,[1820?],Goyder,"Travels in Algeirs, Spain, &c",,"Barnard, Sophia, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000051125,British Library HMNTS 10095.g.35.
51466,,Bombay,1884,,"Ali Baba, or the Forty Thieves",,"Hobday, Edmund Arthur Ponsonby, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000051466,British Library HMNTS 011779.f.19.(2.)|British Library HMNTS 011779.f.21.
52264,,Paris,1894,,Nos Africains,"Alis, Harry , ","Crampel, Paul, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000052264,British Library HMNTS 010095.i.4.
52272,,Agen,1887,,"Notice sur le château, les anciens seigneurs et la paroisse de Mauvezin, près Marmande ","Alis, R, ","Tamizey De Larroque, Jacques Philippe, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000052272,British Library HMNTS 010167.f.5.
52316,,Edinburgh & London,1883,W. Blackwood & Sons,Alison,,"Butt, Beatrice May, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000052316,British Library HMNTS 12635.u.10.
52347,"[Another edition.] A Sermon preached ... the day after the funeral of Sir William Forbes, etc.",Edinburgh; John Murray,1808,Archibald Constable & Co.,,"Alison, Archibald , ","Forbes, William , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000052347,British Library HMNTS 11611.k.8.(3.)
52370,,Edinburgh,"1848, 50",W. Blackwood & Sons,Atlas to accompany Alison's History of Europe,"Alison, Archibald , ","Johnston, Alexander Keith , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000052370,British Library HMNTS 1310.c.1.|British Library HMNTS 1310.c.2.|British Library HMNTS 1310.c.3.
52372,,New York,1845,A. S. Barnes & Co.,"History of Europe from the commencement of the French Revolution in 1789, to the Restoration of the Bourbons ","Alison, Archibald , ","Gould, Edward Sherman , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000052372,British Library HMNTS 1310.d.14.|British Library HMNTS 1311.h.3.
52772,,Philadelphia,1877,J. B. Lippincott & Co.,All Wrong,,"Griffen, Annie M, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000052772,British Library HMNTS 12641.aa.25.
52859,,London,1807,J. J. Stockdale,"All the Talents' Garland; or, a Few Rockets let off at a celebrated Ministry",,"Sayers, James, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000052859,British Library HMNTS 11643.bbb.16.(1.)
53231,,Haarlem,1874[71]-88,,"Geschiedenis en beschrijving van Haarlem, van de vroegste tijden tot op onze dagen, door F","Allan, Francis , ","Ekama, C, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000053231,British Library HMNTS 10271.i.3.
53348,,Albany,1867,Joel Munsell,"Military Operations in Eastern Maine and Nova Scotia during the Revolution, chiefly compiled from the journals and letters of Colonel John Allan, with notes and a memoir of Col","Allan, John , ","Kidder, Frederic, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000053348,British Library HMNTS 9602.ee.6.
53627,,Boston,1892,Houghton & Mifflin,The Army of Northern Virginia in 1862 ,"Allan, William , ","Ropes, John Codman, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000053627,British Library HMNTS 9615.dd.4.
53628,,Philadelphia,1880,J. B. Lippincott & Co.,History of the Campaign of Gen,"Allan, William , ","Hotchkiss, Jed, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000053628,British Library HMNTS 9615.ee.12.|British Library OC RL 204
54811,,Kjøbenhavn,1873,,"Breve fra danske Krigsmænd, skrevne til Hjemmet under Felttogene 1848, 1849, 1850","Allen, Carl Ferdinand, ","Bruun, Christian Walther, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000054811,British Library HMNTS 9424.cc.2.
54815,,Haderslev,1860,,"Danskhedens Skjæbne i Slesvig, udarbeidet efter Prof","Allen, Carl Ferdinand, ","Marckmann, JöRgen Wilhelm, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000054815,British Library HMNTS 9425.c.27.
54819,,Copenhague,1878,,"Histoire de Danemark depuis les temps les plus reculés jusqu'à nos jours, avec une bibliographie et des tables généalogiques ","Allen, Carl Ferdinand, ","Beauvois, EugèNe, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000054819,British Library HMNTS 9435.g.33.
54820,,Kiel,1846,,"Geschichte des Königreiches Dänemark, mit steter Rücksicht auf die innere Entwickelung in Staat und Volk ","Allen, Carl Ferdinand, ","Falck, Niels Nikolaus, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000054820,British Library HMNTS 9425.c.2.
54828,,Kjøbenhavn,1864-72,,"De tre nordiske Rigers Historie under Hans, Christiern den Anden, Frederik den Første, Gustav Vasa, Grevefeiden","Allen, Carl Ferdinand, ","Bruun, Christian Walther, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000054828,British Library HMNTS 9424.b.15.
55031,,"pp. vi. 216. Hatchards: London, 1888",,,The White Man's Foot ,"Allen, Grant","Finnemore, Joseph , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000055031,British Library HMNTS 012633.k.19.
56580,,Baltimore,1822,Franklin Betts,A History of the American Revolution ,"Allen, Paul , ","Washington, George",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000056580,British Library HMNTS 1447.d.6.|British Library HMNTS 1447.d.7.
56757,,New York,1871,Dodd & Mead,Last Letters of R,"Allen, Richard Lamb, ","A, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000056757,British Library HMNTS 10107.bbb.28.
56969,,London,1829,"I. T. Hinton, Holdworth & Ball",History of the Counties of Surrey and Sussex ,"Allen, Thomas , ","Whittock, Nathaniel, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000056969,British Library HMNTS 10360.s.22.|British Library HMNTS 10353.d.14.
56981,,New York,1894,Century Co.,Across Asia on a Bicycle: the journey of two American students from Constantinople to Peking,"Allen, Thomas Gaskell , ","Sachtleben, William Lewis, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000056981,British Library HMNTS 10055.df.23.|British Library HMNTS 10055.df.25.
57124,,London,1848,Richard Bentley,"A Narrative of the Expedition sent by Her Majestys Government to the River Niger in 1841, under the command of Capt","Allen, William , ","Thomson, Thomas Richard Heywood, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000057124,British Library HMNTS 010095.e.46.
58178,,London,1897,Elliot Stock,"Captain Cuellar's Adventures in Connacht & Ulster, A","Allingham, Hugh, ","Crawford, Robert , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000058178,British Library HMNTS 9508.cc.2.
60280,,S. Paulo,1877,,Lições de Historia Patria ,"Almeida E Mello, Americo Braziliense De, ","Lisboa, José Maria, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000060280,British Library HMNTS 9772.ee.4.
60798,,Londini Gothorum,1823,,Praes,"Almqvist, Johan Magnus, ","Petersson, Jacob, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000060798,British Library HMNTS 9435.d.33.(1.)
61361,[Another edition.],Mamers,1891,,,"Alouis, Victor, ","Hervé, Louis, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000061361,British Library HMNTS 010171.k.1.
62084,,London,1814,Longman & Co.,"Alpine Sketches, comprised in a short tour through parts of Holland, Flanders, France, Savoy, Switzerland and Germany, during the summer of 1814",,"Bridges, George Wilson, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000062084,British Library HMNTS 1049.h.10.
62125,,London,1824,W. Smith,"The Diary of a Traveller over Alps and Appenines; or, Daily minutes of a circuitous excursion",,"Forbes, Murray , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000062125,British Library HMNTS 1426.e.11.
62129,,London,"1885, [1884]",Longmans & Co.,The Maritime Alps and their Seaboard,,"Dempster, Charlotte Louisa Hawkins, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000062129,British Library HMNTS 10170.f.1.
63229,,Edinburgh,1877,Maclachalan & Stewart,'Alter Ejusdem': being another instalment of lilts and lyrics,,"Sidey, James Archibald, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000063229,British Library HMNTS 11651.i.2.
64513,[Another edition.] Obras históricas ... Publicadas y anotadas por Alfredo Chavero.,México,"1891, 92",,,"Alva Ixtlilxuchitl, Fernando De, ","Chavero, Alfredo, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000064513,British Library HMNTS 9771.dd.14.
64601,,Mexico,1847,,Proceso de Residencia contra Pedro de Alvarado (y Nuño de Guzman),"Alvarado, Pedro De, ","LóPez RayóN, Ignacio, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000064601,British Library HMNTS 9771.cc.13.
64634,,Paris,1853,,Histoire du Mexique ,"Alvarado Tezozomoc, Fernando De, ","Ternaux, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000064634,British Library HMNTS 9771.d.21.
64701,,Porto,1841,,"Tratado breve dos Rios de Guiné do Cabo-Verde, desde o Rio do Sanagá até aos baixos de Sant' Anna ","Alvares D'Almada, André, ","Kopke, Diogo, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000064701,British Library HMNTS 10095.e.28.
64829,,México,1856,,"Itinerarios y derroteros de la República Mexicana, etc","ÁLvarez, José Justo , ","Duran, Rafael, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000064829,British Library HMNTS 10481.g.15.
65026,,Bruxelles,1850,,"Correspondance du Duc d'Albe sur l'invasion du Comte Louis de Nassau en Frise, en 1568, et les batailles de Heyligerlée et de Gemmingen; publiée par M","ÁLvarez De Toledo, Fernando , ","Gachard, Louis Prosper, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000065026,British Library HMNTS 9414.bbb.25.
66142,,London,1803,"T. Cadell and W. Davies, etc.","Amadis de Gaul: a poem in three books; freely translated from the first part of the French version of Nicolas de Heberay , Sieur des Essars; with notes: by William Stewart Rose: Amadis de Gaula (Spanish romance)",,"Rose, William Stewart, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000066142,British Library HMNTS 11641.d.3.
66840,,Macerata,1874,,La Rivoluzione francese e l'ultimo de' pretesi Luigi XVII ,"Amante, Bruto, ","Alday, Augustin Jacques Marc, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000066840,British Library HMNTS 9230.h.15.
67034,,London,1850,Richard Bentley,History of the War of the Sicilian Vespers ,"Amari, Michele, ","Percy, Anne Barbara Isabel, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000067034,British Library HMNTS 1440.g.14-16.
67200,,London,1818,The Author,"Poems, by an Amateur ",,"Barton, Bernard, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000067200,British Library HMNTS 11641.h.1.
67519,,Tours,1881,,"Louvois d'après sa correspondance, 1641-1691","Ambert, Joachim , ","Louvois, FrançOis, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000067519,British Library HMNTS 9225.l.7.
67701,,Tours,1874,,"Inventaire analytique des archives communales d'Amboise, 1421-1789",,"Chevalier, Casimir, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000067701,British Library HMNTS 10174.h.6.
68917,,London,1833,Longman & Co.,America and the Americans,,"Boardman, James , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000068917,British Library HMNTS 792.e.11.
69151,,London,1863,Sampson Low & Co.,"Eighty Years' Progress of British North America, showing the developmentof its natural resources ",,"Hodgins, John George, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000069151,British Library HMNTS 10470.d.1.
69299,,New York,1835,Harper & Bros.,The American in England,,"Slidell, Afterwards Slidell Mackenzie, Alexander, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000069299,British Library HMNTS 1429.c.10.
69302,,London,1838,Henry Colburn,The American in Paris,,"Sanderson, John , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000069302,British Library HMNTS 1049.l.20.
69314,,Philadelphia,1830,Carey & Lea,Captain Hall in America,,"Biddle, Richard, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000069314,British Library HMNTS 10408.e.3.
69331,,Boston,1838,W. D. Ticknor,"Desultory Reminiscences of a Tour through Germany, Switzerland and France",,"Wright, Hezekiah Hartley, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000069331,British Library HMNTS 1426.k.5.
69339,,Edinburgh,1823,A. Constable & Co.,"Essays, Descriptive and Moral; on Scenes in Italy, Switzerland, and France",,"Bruen, Matthias, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000069339,British Library HMNTS 1049.h.18.
69359,,New-York,1824,The Author,"A Journal of a Tour in Italy, in the year 1821",,"Dwight, Theodore , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000069359,British Library HMNTS 10132.d.7.
69387,,Boston,1830,Carter & Hendee,Poems,,"Pickering, Henry , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000069387,British Library HMNTS 1466.d.11.
69390,,Baltimore,1818,N. G. Maxwell,Rambles in Italy in the years 1816-17,,"Sloan, James, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000069390,British Library HMNTS 10132.k.1.
